ciclo;timestamp;profile;cpu_percent;cpu_cores;load_1min;load_5min;load_15min;mem_used_MB;mem_free_MB;swap_used_MB;swap_free_MB;disk_used_MB;disk_avail_MB;net_rx_kB;net_tx_kB;uptime_minutes;num_processes
50;2025-07-31 20:38:12;lightning;2,7;6;0;06;0;1838;692;486;1561;35015;1745789;10319702695;36023687;40251;234
51;2025-07-31 20:39:12;lightning;2,7;6;0;02;0;1845;686;486;1561;35015;1745789;10319702943;36023773;40252;234
52;2025-07-31 20:40:13;lightning;4;6;0;04;0;1846;685;486;1561;35015;1745789;10319703171;36023863;40253;235
53;2025-07-31 20:41:13;lightning;4,1;6;0;01;0;1842;687;486;1561;35015;1745789;10319706239;36024003;40254;238
54;2025-07-31 20:42:13;lightning;1,5;6;0;00;0;1848;681;486;1561;35015;1745789;10319706501;36024108;40255;238
55;2025-07-31 20:43:14;lightning;4,1;6;0;00;0;1843;685;486;1561;35015;1745789;10319706730;36024206;40256;240
56;2025-07-31 20:44:14;lightning;4;6;0;08;0;1841;687;486;1561;35015;1745789;10319706974;36024317;40257;238
57;2025-07-31 20:45:14;lightning;4,1;6;0;03;0;1848;680;486;1561;35015;1745789;10319707318;36024421;40258;237
58;2025-07-31 20:46:14;lightning;4,1;6;0;01;0;1850;677;486;1561;35015;1745789;10319707566;36024513;40259;241
59;2025-07-31 20:47:15;lightning;4;6;0;09;0;1848;679;486;1561;35015;1745789;10319707813;36024619;40260;240
