ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
50;2025-07-22 03:51:58;estandar;392705;906601;0.08439826743992253;34,9;13,16;88400;5549447628;21304816
51;2025-07-22 03:52:58;estandar;394378;906601;0.08621307711665252;17,5;14,01;89587;5550604011;21309847
52;2025-07-22 03:53:59;estandar;396328;906601;0.08825105611159503;20,6;13,28;91467;5552255056;21316494
53;2025-07-22 03:54:59;estandar;397739;906601;0.08968670991397368;35,4;13,72;92648;5553157149;21321064
54;2025-07-22 03:55:59;estandar;399452;906601;0.09157217608720762;22,6;13,44;93858;5554283400;21326144
55;2025-07-22 03:56:59;estandar;401098;906601;0.09382204830388886;17,5;13,38;95538;5555750516;21331889
56;2025-07-22 03:58:00;estandar;402599;906601;0.09535859235956634;33,3;13,29;96805;5556665027;21336175
57;2025-07-22 03:59:00;estandar;404189;906601;0.0971107968680638;20,3;13,85;98127;5557925692;21342098
58;2025-07-22 04:00:00;estandar;405696;906601;0.09867596612912713;34,4;14,00;99549;5559020459;21348295
59;2025-07-22 04:01:00;estandar;407434;906601;0.1006807044526791;39,7;13,20;100747;5560087085;21353067
60;2025-07-22 04:02:01;estandar;408892;906602;0.1023816440550806;34,9;13,15;102510;5561739051;21363207
61;2025-07-22 04:03:01;estandar;410216;906602;0.1040796356575042;33,9;14,08;103466;5562453953;21366138
62;2025-07-22 04:04:01;estandar;411829;906602;0.1060045125750367;18,8;13,32;104928;5563800795;21371880
63;2025-07-22 04:05:02;estandar;413361;906602;0.1078702891127003;36,5;13,12;106539;5564920829;21377505
64;2025-07-22 04:06:02;estandar;414739;906603;0.1096306476624687;22,6;13,28;107774;5566109823;21382828
65;2025-07-22 04:07:02;estandar;415931;906603;0.1110359109824158;31,2;12,93;109368;5567307920;21390215
66;2025-07-22 04:08:02;estandar;417206;906603;0.1126838945000133;6,5;12,96;110648;5568660608;21397356
67;2025-07-22 04:09:07;estandar;418643;906605;0.114517987931372;38,1;13,42;111866;5569485422;21402302
68;2025-07-22 04:10:08;estandar;420347;906606;0.1164509829186514;38,1;13,71;112768;5570372614;21406080
69;2025-07-22 04:11:13;estandar;421695;906606;0.1180997869647688;20,3;13,32;114692;5572203930;21417790
70;2025-07-22 04:12:13;estandar;422774;906606;0.1195925395545454;36,9;13,24;115805;5572964257;21422572
71;2025-07-22 04:13:14;estandar;424456;906606;0.1216150462854068;39,7;13,51;117069;5574102973;21429316
72;2025-07-22 04:14:14;estandar;425314;906606;0.1226491229073421;34,9;13,42;118106;5574929780;21433379
73;2025-07-22 04:15:14;estandar;426588;906607;0.1242611362628012;3;12,78;119405;5576176759;21440256
74;2025-07-22 04:16:15;estandar;428323;906607;0.1263764077772396;34,9;12,96;120714;5577224202;21446456
75;2025-07-22 04:17:15;estandar;429834;906607;0.128183377289735;33,9;14,57;121778;5578071137;21451476
76;2025-07-22 04:18:16;estandar;431325;906607;0.1300103628744388;18,8;13,79;122972;5579178944;21457540
77;2025-07-22 04:19:17;estandar;432551;906607;0.1314542117752888;35,9;13,46;124635;5580245980;21463884
78;2025-07-22 04:20:17;estandar;433977;906608;0.1334072022965214;35,9;13,19;125602;5581253357;21467263
79;2025-07-22 04:21:23;estandar;435070;906608;0.1348981413876048;19,4;13,15;127270;5583005787;21474888
80;2025-07-22 04:22:23;estandar;436423;906608;0.136732469393852;39,7;12,89;128620;5583454077;21476591
81;2025-07-22 04:23:23;estandar;437670;906608;0.1384426741247415;20,6;12,73;129835;5585136804;21484748
82;2025-07-22 04:24:24;estandar;438981;906608;0.1402090131855399;38,7;13,02;130761;5585515919;21486858
83;2025-07-22 04:25:26;estandar;439946;906608;0.1416418098588613;33,9;13,35;131598;5586601588;21492500
84;2025-07-22 04:26:26;estandar;441364;906609;0.143891947070367;33,9;13,26;133489;5587721222;21496576
85;2025-07-22 04:27:26;estandar;442362;906609;0.145410986222308;34,9;13,14;134236;5588700750;21498532
86;2025-07-22 04:28:27;estandar;443924;906609;0.1477132457218586;34,4;13,36;135757;5590123651;21502430
87;2025-07-22 04:29:27;estandar;444546;906609;0.1487014576834138;36,9;13,43;136832;5590989972;21505626
88;2025-07-22 04:30:27;estandar;446092;906609;0.1509439069723574;22,2;13,18;137906;5591925276;21508487
89;2025-07-22 04:31:28;estandar;447167;906609;0.1526369266300742;39,7;12,99;139454;5592937032;21510976
90;2025-07-22 04:32:28;estandar;448352;906609;0.1543232996486506;38,1;13,76;140433;5593957921;21514001
91;2025-07-22 04:33:28;estandar;449495;906609;0.1558724473498323;11;13,12;142233;5595711791;21522404
92;2025-07-22 04:34:28;estandar;450826;906609;0.1577694423908229;40,6;13,95;142903;5596103132;21524414
93;2025-07-22 04:35:29;estandar;451930;906609;0.1594950564281418;17,7;13,34;144217;5597305368;21528064
94;2025-07-22 04:36:29;estandar;452787;906609;0.1608888231001571;36,9;13,39;145222;5597988812;21530294
95;2025-07-22 04:37:29;estandar;453714;906609;0.1623657340083962;23,8;12,93;146851;5599630894;21536782
96;2025-07-22 04:38:30;estandar;455019;906609;0.1644464483556637;20,3;12,91;148477;5601042506;21544989
97;2025-07-22 04:39:30;estandar;456094;906609;0.1662932983378664;37,1;13,20;149638;5601326285;21546350
98;2025-07-22 04:40:30;estandar;457270;906609;0.1681548517281527;18,8;13,28;150239;5602473681;21550738
99;2025-07-22 04:41:31;estandar;458145;906609;0.1695041549730694;35,9;13,70;151918;5603769725;21557140
100;2025-07-22 04:42:32;estandar;459041;906609;0.1708611566094849;33,3;13,27;152843;5604732016;21561013
101;2025-07-22 04:43:32;estandar;460485;906609;0.1729965838710471;41,3;13,10;153939;5605551498;21564331
102;2025-07-22 04:44:39;estandar;461514;906609;0.174521682462308;39,1;13,31;155677;5606930603;21570378
103;2025-07-22 04:45:40;estandar;462636;906610;0.1762620002437406;20,3;13,41;156659;5608018635;21573841
104;2025-07-22 04:46:52;estandar;463916;906610;0.1783365832160134;38,1;13,49;158111;5608960839;21576020
105;2025-07-22 04:47:55;estandar;464991;906610;0.1801419785736494;36,5;13,59;159134;5609948612;21578472
